handle,n_contests_after_startup,n_iqr_outliers,mean_delta_all,median_delta_all,trimmed_mean_10_all,mean_delta_robust,median_delta_robust,trimmed_mean_10_robust,startup_contests_excluded,editorial_reading,reader_bucket,experience,weekly_time_on_codeforces
-Azamat-,10,0,28.5,21.0,27.75,28.5,21.0,27.75,5,5,readers (4–5),> 5 years,10 - 20 hours per week
BehruzbekSuyunov,72,0,2.8472222222222223,4.0,3.8275862068965516,2.8472222222222223,4.0,3.8275862068965516,5,4,readers (4–5),1 - 2 years,> 20 hours per week
Bilolbek2011,25,0,6.08,-5.0,4.9523809523809526,6.08,-5.0,4.9523809523809526,5,1,non-readers (1–2),2 - 5 years,10 - 20 hours per week
Diyorbek_Sh,47,0,4.787234042553192,1.0,4.435897435897436,4.787234042553192,1.0,4.435897435897436,5,3,sometimes (3),1 - 2 years,10 - 20 hours per week
DoNo0425,28,0,18.107142857142858,2.5,16.708333333333332,18.107142857142858,2.5,16.708333333333332,5,3,sometimes (3),1 - 2 years,> 20 hours per week
Jama,15,0,13.0,-1.0,10.538461538461538,13.0,-1.0,10.538461538461538,5,4,readers (4–5),1 - 2 years,< 5 hours per week
MDSPro,81,4,7.407407407407407,9.0,7.753846153846154,7.792207792207792,9.0,7.619047619047619,5,4,readers (4–5),> 5 years,> 20 hours per week
Nurex_001,84,3,3.3214285714285716,7.0,4.5588235294117645,4.827160493827161,9.0,6.2615384615384615,5,2,non-readers (1–2),2 - 5 years,< 5 hours per week
Oddiyodam04,6,0,29.333333333333332,26.5,29.333333333333332,29.333333333333332,26.5,29.333333333333332,5,4,readers (4–5),< 1 year,5 -  10 hours per week
Odminbey,4,0,20.5,15.0,20.5,20.5,15.0,20.5,5,3,sometimes (3),> 5 years,5 -  10 hours per week
Shakuu,51,1,12.156862745098039,15.0,10.512195121951219,9.04,14.0,8.775,5,2,non-readers (1–2),< 1 year,> 20 hours per week
Timosh,70,2,11.342857142857143,11.0,6.821428571428571,4.985294117647059,8.0,3.0714285714285716,5,1,non-readers (1–2),1 - 2 years,5 -  10 hours per week
atik_uwu,37,2,15.324324324324325,17.0,15.387096774193548,16.085714285714285,17.0,15.137931034482758,5,2,non-readers (1–2),1 - 2 years,5 -  10 hours per week
aveok,24,0,10.791666666666666,19.5,10.8,10.791666666666666,19.5,10.8,5,1,non-readers (1–2),1 - 2 years,< 5 hours per week
azizbek_,50,0,11.46,14.5,13.375,11.46,14.5,13.375,5,3,sometimes (3),2 - 5 years,> 20 hours per week
hackstar,68,1,12.102941176470589,16.0,14.375,14.582089552238806,16.0,15.581818181818182,5,2,non-readers (1–2),1 - 2 years,> 20 hours per week
ismoilmirzouz,77,0,8.532467532467532,6.0,6.174603174603175,8.532467532467532,6.0,6.174603174603175,5,4,readers (4–5),2 - 5 years,5 -  10 hours per week
mbi,76,2,7.171052631578948,2.0,4.145161290322581,2.418918918918919,-2.0,1.4333333333333333,5,3,sometimes (3),> 5 years,< 5 hours per week
moai06,81,1,5.777777777777778,4.0,7.676923076923077,7.825,4.5,8.703125,5,2,non-readers (1–2),1 - 2 years,10 - 20 hours per week
rshohruh,60,0,8.916666666666666,19.5,7.229166666666667,8.916666666666666,19.5,7.229166666666667,5,3,sometimes (3),2 - 5 years,> 20 hours per week
